fecha_hora,timestamp_unix,año,mes,dia,hora,minuto,dia_semana,semana_numero,es_fin_semana,estacion,sensor_id,sensor_ubicacion,tipo_sensor,estado_sensor,version_firmware,temperatura_c,temperatura_f,temperatura_anomalia,sensacion_termica,humedad,humedad_absoluta,punto_rocio,presion_atm,velocidad_viento,precipitacion,calidad_aire,ruido_db,luminosidad_lux,temperatura_promedio_hora,temperatura_max_dia,temperatura_min_dia,alerta_temperatura,diferencia_hora_anterior,tendencia_ultimas_3h,sensor_confianza,lectura_estable
01/01/2024 00:00:00,1704088800,2024,1,1,0,0,Monday,1,False,Primavera,Sensor_A,Centro,Hidrómetro,ERROR_READING,v1.2,4.7,40.5,Normal,Caluroso,,,,sin_datos,9.941882534332425,0,142,30,75.88073671297673,,27.39488974565335,9.226143981535024,NORMAL,,Descendente,90,stable
2024-01-01 00:15:00,1704089700,2024,1,1,0,15,Monday,1,False,Primavera,Sensor_C,Exterior,,Calibrando,v1.0,3.7,38.7,Normal,,85,0.32,0.7,1033.1271048762085,3.477757441187046,0,443,65,45.34103023684355,,,,NORMAL,1.0,Descendente,42,1
2024-01-01 00:30:00,1704090600,2024,1,1,0,30,Monday,1,False,,Sensor_B,Este,IoT Device,Error,v2.0,8.6,47.5,Normal,,75,0.39,3.6,1029.3081556404086,3.309430260577362,0,255,112,45.88518525873988,,,,NORMAL,1.7,Ascendente,8,stable
2024-01-01 00:45:00,1704091500,2024,1,1,0,45,Monday,1,False,,Sensor_D,Exterior,Hidrómetro,Mantenimiento,,4.6,40.3,Normal,Templado,83,0.33,1.2,983.8116623691175,26.455717254956852,0,58,98,75.08777995916097,,,,NORMAL,-0.9,Ascendente,56,False
2024-01-01 01:00:00,1704092400,2024,1,1,1,0,Monday,1,False,Otoño,Sensor_E,Oeste,Hidrómetro,Calibrando,v1.2,4.6,40.3,Normal,,77,0.31,0.0,1001.778846030856,11.972615516902941,0,248,98,76.58344293069878,,,,NORMAL,-1.3,Variable,48,stable
2024-01-01 01:15:00,1704093300,2024,1,1,1,15,Monday,1,False,Verano,Sensor_E,Oeste,Estación Completa,Error,,1.9,35.4,Normal,Templado,,,,1015.298523107434,3.5496543004516266,0,36,65,66.89777782962805,,,,NORMAL,3.2,,25,stable
2024-01-01 01:30:00,1704094200,2024,1,1,1,30,Monday,1,False,Verano,Sensor_A,Sur,IoT Device,Calibrando,beta,8.6,47.5,Normal,Frío,71,0.37,2.8,1000.3581563236978,9.510445422040576,0,447,86,80.80222447317026,,,,NORMAL,-5.1,,-10,0
2024-01-01 01:45:00,1704095100,2024,1,1,1,45,Monday,1,False,Verano,Sensor_D,,IoT Device,Mantenimiento,beta,-999.0,-1766.2,Extremo,Caluroso,87,,-1001.6,1023.8303190449279,24.333570582716472,0,bueno,37,5.014233726395356,,,,ALERTA_HIELO,2.2,Estable,67,False
2024-01-01 02:00:00,1704096000,2024,1,1,2,0,Monday,1,False,Verano,Sensor_D,Sur,,Mantenimiento,,7.5,45.5,Normal,Caluroso,74,0.36,2.3,1020.1835584861898,6.543914106372823,sin_medición,318,42,7.3260721099633,,,,NORMAL,-2.2,,-10,No
2024-01-01 02:15:00,1704096900,2024,1,1,2,15,Monday,1,False,Otoño,Sensor_B,,,,v2.0,3.2,37.8,Normal,cálculo_no_disponible,70,0.25,-2.8,1019.8033228979647,5.77143352095511,0,107,56,68.74971288013305,,,,NORMAL,-1.5,,93,True
2024-01-01 02:30:00,1704097800,2024,1,1,2,30,Monday,1,False,Primavera,Sensor_C,Este,Estación Completa,Mantenimiento,,4.6,40.3,Normal,,93,0.37,3.2,1012.7354173523313,7.404689278374132,0,107,115,10.279362167178563,,,,NORMAL,0.0,Variable,69,1
2024-01-01 02:45:00,1704098700,2024,1,1,2,45,Monday,1,False,Verano,Sensor_D,Norte,Hidrómetro,,v2.0,9.1,48.4,Normal,Templado,85,0.46,6.1,986.4857375841774,11.121685877283221,0,446,33,66.00331827486289,,,,NORMAL,-0.1,Descendente,96,No
2024-01-01 03:00:00,1704099600,2024,1,1,3,0,Monday,1,False,Primavera,Sensor_A,Centro,Hidrómetro,Offline,v2.0,-999.0,-1766.2,Extremo,Cálido,84,,-1002.2,1003.1117260006836,,0,35,72,62.31554099464092,,,,ALERTA_HIELO,-1.7,Estable,89,stable
2024-01-01 03:15:00,1704100500,2024,1,1,3,15,Monday,1,False,Otoño,Sensor_D,Centro,,Mantenimiento,v1.2,5.3,41.5,Normal,,83,0.35,1.9,1030.0235101582434,39.287941373879,16.112461486826906,109,51,65.88507449984218,6.6,,,NORMAL,-1.4,Estable,61,0
2024-01-01 03:30:00,1704101400,2024,1,1,3,30,Monday,1,False,Verano,Sensor_A,Norte,Hidrómetro,Error,,4.1,39.4,Normal,Caluroso,83,0.32,0.7,1003.9791717725923,44.63299131056833,44.2732602754933,411,96,46.454988457425216,,,,NORMAL,-1.7,Estable,21,No
